Year,GDP,Population,Transit,VMT,SQMI,Temps,Emissions,modelGHG
1994,7288327.0,263125821.0,7701631442.0,2359984.0,3531905.43,64.8,1733.985207,1705.8307261922746
1995,7539096.0,266278393.0,7503673005.0,2422775.0,3531905.43,64.34,1769.764496,1744.1137131229905
1996,7871721.0,269394284.0,7564570834.0,2484080.0,3531905.43,63.71,1820.218096,1795.6475255949417
1997,9856166.0,272646925.0,7982370640.0,2552233.0,3531905.43,63.72,1840.662981,1818.0898446961562
1998,10281034.0,275854104.0,8115118381.0,2628148.0,3531905.43,65.63,1877.582343,1864.3989820796883
1999,10771147.0,279040168.0,8521548403.0,2690241.0,3531905.43,66.2,1921.589895,1912.3689949865782
2000,11225406.0,282162411.0,8719890910.0,2746925.0,3531905.43,65.31,1962.805129,1953.31565101945
2001,11365110.0,284968955.0,9007786295.0,2797339.0,3531905.43,65.64,1937.856043,1931.505731623485
2002,11559801.0,287625193.0,9017976117.0,2855756.0,3531905.43,65.19,1972.065873,1967.142318147303
2003,11809034.0,290107933.0,8876036081.0,2890893.0,3531905.43,65.11,1966.850091,1964.5864705118631
2004,12199532.0,292805298.0,8937072091.0,2962513.0,3531905.43,64.61,2028.406853,2027.419039319536
2005,12539116.0,295516599.0,9175124398.0,2989807.0,3531905.43,65.49,2049.559556,2053.2571687475775
2006,12875816.0,298379912.0,9379390013.0,3014116.0,3531905.43,66.41,2071.569078,2080.277526796762
2007,13103341.0,301231207.0,10053504041.0,3029822.0,3531905.43,65.64,2070.775118,2077.415007336881
2008,13016791.0,304093966.0,10367213615.0,2973509.0,3531905.43,64.45,1941.297724,1944.769557334398
2009,12592668.0,306771529.0,10251690487.0,2956763.518,3531905.43,64.17,1869.430756,1874.439844462373
2010,12897088.0,309326225.0,10081576063.0,2967265.967,3531905.43,64.66,1883.552521,1892.9087429300412
2011,13108318.0,311587816.0,10208051806.0,2950401.807,3531905.43,65.16,1851.874066,1864.1095721136649
2012,16197007.0,313830990.0,10471110118.0,2968814.901,3531905.43,67.69,1813.872116,1835.1630196498277
2013,16495369.0,315993715.0,10527881289.0,2988322.739,3531905.43,64.15,1842.322535,1853.8931218335035
2014,16912038.0,318301008.0,10632813957.0,3025655.727,3531905.43,64.34,1859.925327,1874.1224715096237
2015,17432170.0,320635163.0,10495880570.0,3095372.701000001,3531905.43,66.07,1884.622567,1907.6400753561325
2016,17730509.0,322941311.0,10367661686.0,3174408.0,3531905.43,66.69,1921.869792,1950.1884405955832
2017,18144105.0,324985539.0,10062520222.0,3212347.311,3531905.43,66.35,1935.659379,1965.9416355180078
2018,18687786.0,326687501.0,9862597629.0,3240326.543,3531905.43,65.09,1963.615455,1992.0996578419245
2019,,,,,,,,2024.127434146732
2020,,,,,,,,2058.437618338957
2021,,,,,,,,2095.030210418599
2022,,,,,,,,2133.905210418284
2023,,,,,,,,2175.0626183038144
2024,,,,,,,,2218.5024340767623
2025,,,,,,,,2264.224657734012
2026,,,,,,,,2312.2292893113045
2027,,,,,,,,2362.5163287760142
2028,,,,,,,,2415.0857761281413
2029,,,,,,,,2469.937631366114
2030,,,,,,,,2527.07189452413
2031,,,,,,,,2586.4885655695634
2032,,,,,,,,2648.187644515065
2033,,,,,,,,2712.169131347984
2034,,,,,,,,2778.4330260683205
2035,,,,,,,,2846.979328705584
2036,,,,,,,,2917.8080392286934
2037,,,,,,,,2990.91915763922
2038,,,,,,,,3066.312683937164
2039,,,,,,,,3143.9886181551506
2040,,,,,,,,3223.9469602605545
2041,,,,,,,,3306.1877102533763
2042,,,,,,,,3390.7108681320437
2043,,,,,,,,3477.516433930754
2044,,,,,,,,3566.6044076168814
2045,,,,,,,,3657.9747891999614
2046,,,,,,,,3751.627578670459
2047,,,,,,,,3847.562776028374
2048,,,,,,,,3945.780381306332
2049,,,,,,,,4046.2803944701354
2050,,,,,,,,4149.062815521356
